start_datetime,end_datetime,cme_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_angle,cme_width,cme_speed,is_halo,is_lower_bound
2001-09-27 08:15:00,2001-09-28 07:00:00,2001-09-27 08:06:00,4000,80,S15W40,EP,C9.5,224,138,669,False,False
2001-10-01 07:00:00,2001-10-01 18:30:00,2001-10-01 05:30:00,1000,150,S24W81,9628,M9.1,NA,360,1405,True,False
2001-10-05 11:35:00,2001-10-05 12:55:00,2001-10-05 10:30:00,1400,500,SW90b,NA,NA,NA,360,1537,True,False
2001-10-09 11:15:00,2001-10-09 16:00:00,2001-10-09 11:30:00,8000,200,S28E08,9653,M1.4,NA,360,973,True,False
2001-10-09 11:20:00,2001-10-09 11:55:00,NA,14000,2000,S28E08,9653,NA,NA,,NA,False,True
2001-10-09 13:10:00,2001-10-09 23:00:00,NA,5000,50,BACK,NA,NA,NA,,NA,False,True
2001-10-19 01:15:00,2001-10-19 02:25:00,2001-10-19 01:27:00,14000,1300,N16W18,9661,X1.6,NA,360,558,True,False
2001-10-19 16:45:00,2001-10-21 16:40:00,2001-10-19 16:50:00,14000,30,N15W29,9661,X1.6,NA,360,901,True,False
2001-10-22 15:15:00,2001-10-22 17:40:00,2001-10-22 15:06:00,8000,1200,S21E18,9672,M6.7,NA,360,1336,True,False
2001-10-25 15:30:00,2001-10-27 23:00:00,2001-10-25 15:26:00,14000,30,S16W21,9672,X1.3,NA,360,1092,True,False
2001-11-04 16:30:00,2001-11-06 11:00:00,2001-11-04 16:35:00,14000,70,N06W18,9684,X1.0,NA,360,1810,True,False
2001-11-17 05:35:00,2001-11-17 06:40:00,2001-11-17 05:30:00,11000,1700,S13E42,9704,M2.8,NA,360,1379,True,False
2001-11-22 20:50:00,2001-11-22 22:23:00,2001-11-22 20:30:00,8000,1000,S25W67,9698,M3.8,NA,360,1443,True,False
2001-11-22 22:40:00,2001-11-24 02:30:00,2001-11-22 23:30:00,14000,40,S17W36,9704,M9.9,NA,360,1437,True,False
2001-12-11 12:45:00,2001-12-11 17:00:00,2001-12-11 09:54:00,4500,750,SW90b,NA,NA,263,121,891,False,False
2001-12-25 11:25:00,2001-12-25 12:40:00,2001-12-25 11:30:00,14000,1000,SE90b,NA,NA,NA,360,1773,True,False
2001-12-26 05:20:00,2001-12-27 05:00:00,2001-12-26 05:30:00,14000,150,N08W54,9742,M7.1,281,212,1446,False,True
2001-12-28 20:35:00,2001-12-29 03:00:00,2001-12-28 20:30:00,14000,350,S26E90,9756,X3.4,NA,360,2216,True,False
2001-12-29 20:45:00,2001-12-29 21:05:00,2001-12-29 20:30:00,3000,1500,BACK,NA,NA,297,211,819,False,True
2002-01-08 18:30:00,2002-01-09 00:00:00,2002-01-08 17:54:00,14000,90,NE90b,NA,NA,NA,360,1794,True,False
2002-01-14 06:25:00,2002-01-14 21:30:00,2002-01-14 05:35:00,12000,100,S28W83,9772,M4.4,NA,360,1492,True,False
2002-01-27 12:49:00,2002-01-27 13:25:00,2002-01-27 12:30:00,14000,3000,Back?,NA,NA,NA,360,1136,True,False
2002-02-01 19:23:00,2002-02-01 19:31:00,2002-02-01 19:54:00,14000,11000,BACK,NA,NA,350,89,448,False,False
2002-02-21 12:35:00,2002-02-21 12:50:00,2002-02-21 12:54:00,4000,1500,N16W79,9825,M3.9,275,108,358,False,False
2002-03-11 00:00:00,2002-03-11 00:15:00,2002-03-10 23:06:00,14000,8000,S11E90,9866,M2.3,NA,360,1429,True,False
2002-03-12 00:00:00,2002-03-12 02:20:00,2002-03-11 23:30:00,14000,2200,S15E45,NA,M5.0,NA,360,950,True,False
2002-03-15 22:45:00,2002-03-15 23:30:00,2002-03-15 23:06:00,14000,6000,S08W03,9866,M2.2,NA,360,957,True,False
2002-03-17 06:00:00,2002-03-17 06:35:00,2002-03-17 04:06:00,3000,1000,S20E24,9871,C3.1,141,56,658,False,False
2002-03-18 02:55:00,2002-03-18 05:35:00,2002-03-18 02:54:00,14000,1000,S10W30,9873,M1.0,NA,360,989,True,False
2002-03-22 11:30:00,2002-03-22 12:40:00,2002-03-22 11:06:00,14000,500,S09W90,9866,M1.6,NA,360,1750,True,False
2002-03-22 13:10:00,2002-03-22 13:35:00,2002-03-22 12:30:00,3000,2000,S00W90,9866,M1.6,243,120,875,False,False
2002-04-10 12:59:00,2002-04-10 13:02:00,2002-04-10 13:27:00,13000,12000,N15W14,9893,M8.2,340,159,650,False,False
2002-04-14 07:50:00,2002-04-14 08:10:00,2002-04-14 07:50:00,14000,8000,N19W57,9893,C9.6,323,76,757,False,False
2002-04-15 03:35:00,2002-04-15 04:15:00,2002-04-15 03:50:00,11000,1500,S15W01,9906,M1.2,NA,360,720,True,False
2002-04-17 08:30:00,2002-04-19 04:00:00,2002-04-17 08:26:00,5000,40,S14W34,9906,M2.6,NA,360,1240,True,False
2002-04-21 01:30:00,2002-04-21 00:00:00,2002-04-21 01:27:00,10000,60,S14W84,9906,X1.5,NA,360,2393,True,False
2002-04-30 14:15:00,2002-04-30 14:23:00,2002-04-30 14:26:00,4000,2500,S16E77,9934,C3.2,92,90,618,False,False
2002-04-30 22:30:00,2002-04-30 23:20:00,2002-04-30 23:26:00,2000,500,W90b,NA,NA,254,199,1103,False,False
2002-05-02 23:50:00,2002-05-03 00:10:00,2002-05-02 23:18:00,2800,900,E90b,9937,NA,119,99,902,False,False
2002-05-16 01:50:00,2002-05-16 03:30:00,2002-05-16 00:50:00,9000,2000,S22E01,9948,C4.5,NA,360,600,True,False
2002-05-22 00:00:00,2002-05-22 00:30:00,2002-05-22 00:06:00,14000,8000,S25W64,9948,C9.7,230,186,1246,False,False
2002-05-27 12:50:00,2002-05-27 13:50:00,2002-05-27 13:27:00,14000,5000,N18E18,9967,C3.7,49,161,1106,False,True
2002-07-07 11:35:00,2002-07-07 20:00:00,2002-07-07 11:30:00,14000,200,S19W90,10017,M1.0,277,228,1423,False,True
2002-07-09 19:46:00,2002-07-09 20:40:00,2002-07-09 19:31:00,1000,650,W90b,NA,NA,NA,360,1076,True,False
2002-07-15 21:15:00,2002-07-16 05:00:00,2002-07-15 21:30:00,5000,175,N19W01,10030,M1.8,14,188,1300,False,True
2002-07-17 07:30:00,2002-07-17 07:45:00,2002-07-17 07:31:00,3500,2000,N21W17,10030,M8.5,36,177,716,False,False
2002-07-18 07:55:00,2002-07-18 08:45:00,2002-07-18 08:06:00,14000,1500,N19W30,10030,X1.8,NA,360,1099,True,False
2002-07-18 20:55:00,2002-07-18 21:40:00,2002-07-18 19:31:00,6000,3000,E90b,10036,C3.3,NA,360,2191,True,False
2002-07-19 16:40:00,2002-07-19 17:10:00,2002-07-19 16:30:00,5000,1000,S15E90,NA,NA,NA,360,2047,True,False
2002-07-20 21:30:00,2002-07-20 22:20:00,2002-07-20 22:06:00,10000,2000,S13E90,10039,X3.3,NA,360,1941,True,False
2002-07-23 00:50:00,2002-07-23 04:00:00,2002-07-23 00:42:00,11000,400,S13E72,10039,X4.8,NA,360,2285,True,False
2002-07-26 22:27:00,2002-07-26 23:30:00,2002-07-26 22:06:00,14000,2000,S19E26,10039,M8.7,NA,360,818,True,False
2002-07-29 12:10:00,2002-07-29 12:45:00,2002-07-29 12:07:00,4200,1300,N10W15,FILA,NA,13,236,562,False,True
2002-08-03 19:20:00,2002-08-03 20:30:00,2002-08-03 19:31:00,14000,2000,S16W76,10039,X1.0,259,138,1150,False,False
2002-08-14 02:20:00,2002-08-14 00:00:00,2002-08-14 02:30:00,1000,30,N09W54,10061,M2.3,297,133,1309,False,False
2002-08-16 06:15:00,2002-08-16 09:30:00,2002-08-16 06:06:00,14000,300,N07W83,10061,M2.4,293,162,1378,False,False
2002-08-16 12:20:00,2002-08-17 21:00:00,2002-08-16 12:30:00,14000,60,S14E20,10069,M5.2,NA,360,1585,True,False
2002-08-22 02:50:00,2002-08-22 04:13:00,2002-08-22 02:06:00,14000,3500,S07W62,NA,M5.4,NA,360,998,True,False
